releaseID,releaseTime,targetSiteName,markedTaxon,testDays,nReleased,nRecaptured,includeTest,includeTestComments,Release.comments
282,2014-05-19 20:02,American River at Watt Avenue,Steelhead / rainbow trout,4,455,15,No,,Total recaps = 15. The purpose of this release was to determine the catchability of Nimbus Hatchery's YOY Steelhead by rotary screw traps.
283,2014-05-19 19:50,American River at Watt Avenue,Steelhead / rainbow trout,4,492,26,No,,Total recaps = 26. The purpose of this release was to determine the catchability of Nimbus Hatchery's YOY Steelhead by rotary screw traps.
267,2014-01-17 17:10,American River at Watt Avenue,Chinook salmon,6,398,104,Yes,,FL's from 8.1 on 1/15-16/2014 and 8.2 1/15-16/2014 Total recaps = 104
268,2014-01-23 17:25,American River at Watt Avenue,Chinook salmon,7,856,188,Yes,,FL's from 8.1 1/21-22/2014 and 8.2 1/21-22/2014 Total recaps = 188
269,2014-01-30 17:25,American River at Watt Avenue,Chinook salmon,7,673,121,Yes,,FLs from 8.1 1/28-29/2014 and 8.2 1/28-29/2014 Total recaps = 121
270,2014-02-06 17:30,American River at Watt Avenue,Chinook salmon,7,684,106,Yes,,FLs from 8.1 2/4-5/2014 and 8.2 2/4-5/2014 Total recaps = 106
271,2014-02-13 17:45,American River at Watt Avenue,Chinook salmon,7,3980,1360,Yes,,FLs from 8.1 2/12/2014 and 8.2 2/12/2014 Total recaps = 1360
272,2014-02-20 17:50,American River at Watt Avenue,Chinook salmon,7,3970,958,Yes,,FLs from 8.1 2/19/2014 and 8.2 2/19/2014 Total recaps = 958
273,2014-02-27 17:50,American River at Watt Avenue,Chinook salmon,7,1870,494,Yes,,FLs from 8.1 2/25-26/2014 Total recaps = 494
274,2014-03-06 17:50,American River at Watt Avenue,Chinook salmon,7,1910,264,Yes,,FLs from 8.1 3/5/2014 and 8.2 3/5/2014 Total recaps = 264
275,2014-03-13 19:00,American River at Watt Avenue,Chinook salmon,7,1726,347,Yes,,FLs from 8.2 3/11/2014 and 8.1 3/12/2014 Total recaps = 347
276,2014-03-20 19:00,American River at Watt Avenue,Chinook salmon,7,896,219,Yes,,FLs from traps 8.1 and 8.2 on 3/19/2014 Total recaps = 219
