releaseID,releaseFishID,forkLength,ReleaseFish.comments
267,2127,35,
267,2137,36,
267,2136,39,
267,2135,37,
267,2134,35,
267,2133,35,
267,2132,37,
267,2131,38,
267,2130,37,
267,2118,35,
267,2128,36,
267,2140,37,
267,2126,34,
267,2125,38,
267,2124,35,
267,2123,37,
267,2122,37,
267,2121,36,
267,2120,37,
267,2161,37,
267,2129,35,
267,2149,38,
267,2075,36,
267,2158,37,
267,2157,37,
267,2156,35,
267,2155,36,
267,2154,37,
267,2153,35,
267,2152,35,
267,2138,35,
267,2150,36,
267,2139,37,
267,2148,36,
267,2147,36,
267,2146,35,
267,2145,39,
267,2144,36,
267,2143,37,
267,2142,33,
267,2141,34,
267,2117,34,
267,2151,36,
267,2084,37,
267,2094,35,
267,2093,36,
267,2092,35,
267,2091,36,
267,2090,37,
267,2089,37,
267,2088,38,
267,2087,36,
267,2119,37,
267,2085,36,
267,2097,36,
267,2083,37,
267,2082,34,
267,2081,33,
267,2080,40,
267,2079,38,
267,2078,36,
267,2077,35,
267,2076,34,
267,2086,38,
267,2106,35,
267,2116,40,
267,2115,37,
267,2114,38,
267,2113,37,
267,2112,37,
267,2111,35,
267,2110,37,
267,2109,38,
267,2095,36,
267,2107,35,
267,2096,35,
267,2105,37,
267,2104,36,
267,2103,36,
267,2102,36,
267,2101,39,
267,2100,37,
267,2099,35,
267,2098,39,
267,2163,36,
267,2108,34,
267,2215,36,
267,2225,37,
267,2224,37,
267,2223,35,
267,2222,34,
267,2221,35,
267,2220,32,
267,2219,35,
267,2218,36,
267,2206,38,
267,2216,35,
267,2228,37,
267,2214,35,
267,2213,37,
267,2212,40,
267,2211,35,
267,2210,34,
267,2209,35,
267,2208,37,
267,2159,37,
267,2217,36,
267,2237,35,
267,1903,37,
267,2246,37,
267,2245,36,
267,2244,37,
267,2243,38,
267,2242,37,
267,2241,36,
267,2240,37,
267,2226,35,
267,2238,36,
267,2227,37,
267,2236,35,
267,2235,37,
267,2234,36,
267,2233,35,
267,2232,36,
267,2231,35,
267,2230,35,
267,2229,36,
267,2205,35,
267,2239,35,
267,2172,36,
267,2182,36,
267,2181,37,
267,2180,33,
267,2179,37,
267,2178,37,
267,2177,37,
267,2176,36,
267,2175,35,
267,2207,36,
267,2173,35,
267,2185,37,
267,2171,36,
267,2170,37,
267,2169,37,
267,2168,38,
267,2167,34,
267,2166,34,
267,2165,38,
267,2164,35,
267,2174,36,
267,2194,37,
267,2204,35,
267,2203,35,
267,2202,35,
267,2201,36,
267,2200,35,
267,2199,38,
267,2198,34,
267,2197,39,
267,2183,32,
267,2195,36,
267,2184,37,
267,2193,37,
267,2192,35,
267,2191,38,
267,2190,32,
267,2189,33,
267,2188,37,
267,2187,34,
267,2186,40,
267,2160,36,
267,2196,35,
267,1955,34,
267,1965,34,
267,1964,37,
267,1963,37,
267,1962,34,
267,1961,36,
267,1960,37,
267,1959,38,
267,1958,35,
267,1988,36,
267,1956,34,
267,1968,35,
267,1954,35,
267,1953,36,
267,1952,37,
267,1951,35,
267,1950,40,
267,1949,35,
267,1948,36,
267,1947,39,
267,1957,33,
267,1977,36,
267,1987,35,
267,1986,36,
267,1985,35,
267,1984,35,
267,1983,39,
267,1982,34,
267,1981,39,
267,1980,36,
267,1966,38,
267,1978,37,
267,1967,35,
267,1976,36,
267,1975,36,
267,1974,36,
267,1973,35,
267,1972,36,
267,1971,37,
267,1970,36,
267,1969,38,
267,1944,35,
267,1979,35,
267,1912,36,
267,1946,34,
267,1921,35,
267,1920,35,
267,1919,35,
267,1918,34,
267,1917,35,
267,1916,34,
267,1915,40,
267,1923,34,
267,1913,36,
267,1924,34,
267,1911,37,
267,1910,35,
267,1909,34,
267,1908,36,
267,1907,35,
267,1906,37,
267,2074,36,
267,1904,36,
267,2162,34,
267,1914,34,
267,1934,35,
267,1905,40,
267,1943,39,
267,1942,35,
267,1941,36,
267,1940,36,
267,1939,38,
267,1938,35,
267,1937,34,
267,1922,35,
267,1935,36,
267,1945,39,
267,1933,36,
267,1932,37,
267,1931,35,
267,1930,34,
267,1929,35,
267,1928,36,
267,1927,35,
267,1926,37,
267,1925,37,
267,1936,36,
267,2039,37,
267,2049,37,
267,2048,36,
267,2047,37,
267,2046,37,
267,2045,36,
267,2044,37,
267,2043,36,
267,2042,37,
267,2030,39,
267,2040,36,
267,2052,37,
267,2038,37,
267,2037,36,
267,2036,37,
267,2035,37,
267,2034,37,
267,2033,37,
267,2032,37,
267,2031,36,
267,2041,33,
267,2061,33,
267,2072,36,
267,2070,38,
267,2069,39,
267,2068,36,
267,2067,36,
267,2066,37,
267,2065,39,
267,2064,37,
267,2050,35,
267,2062,36,
267,2051,37,
267,2060,35,
267,2059,35,
267,2058,37,
267,2057,36,
267,2056,34,
267,2055,36,
267,2054,41,
267,2053,38,
267,2071,37,
267,2063,39,
267,1996,39,
267,2007,37,
267,2006,39,
267,2005,40,
267,2004,34,
267,2003,39,
267,2002,35,
267,2001,37,
267,2000,37,
267,2008,37,
267,1998,36,
267,1999,35,
267,1995,37,
267,1994,37,
267,1993,36,
267,1992,35,
267,1991,36,
267,1990,36,
267,2073,35,
267,2029,39,
267,1989,37,
267,2022,36,
267,2027,37,
267,1997,35,
267,2009,37,
267,2026,36,
267,2025,37,
267,2023,36,
