Date,trapVisitID,subSiteName,turbidity,waterVel,dissolvedOxygen,waterDepth,Environmental.comments
2017-02-01,8302,ST004L1,,,,153,Water velocity not recorded.
2017-02-02,8303,ST004L1,,,,145,Water temp not recorded. Turbidity not recorded. D.O. not recorded. Water velocity not recorded.
2017-02-03,8304,ST004L1,4.51,,,140,Water temp not recorded. D.O. not recorded. Water velocity not recorded.
2017-02-04,8305,ST004L1,5.71,,7.15,140,Water velocity not recorded. 
2017-02-05,8309,ST004L1,4.16,,8.10,140,Water velocity not recorded. 
2017-02-06,8310,ST004L1,6.03,,7.75,126,Water velocity not recorded. 
2017-02-07,8311,ST004L1,14.31,,8.13,140,Water velocity not recorded. One water sample taken for both traps. 
2017-02-08,8312,ST004L1,19.71,,8.64,208,Water velocity not recorded. 
2017-02-09,8313,ST004L1,15.63,,8.75,,Water velocity not recorded. Water depth not recorded: too deep (estimated at 302 cm). 
2017-02-10,8314,ST004L1,10.56,,9.45,,Water velocity not recorded. Water depth not recorded: too deep ( >300 cm). 
2017-02-11,8315,ST004L1,19.56,,8.45,,Water velocity not recorded. Water depth not recorded: too deep ( >300 cm). 
2017-02-12,8324,ST004L1,10.56,,8.83,,Water velocity not recorded. Water depth not recorded: too deep ( >300 cm). 
2017-02-13,8325,ST004L1,6.48,,9.66,300,Water velocity not recorded.
2017-02-14,8327,ST004L1,3.90,,8.05,281,Water velocity not recorded.
2017-02-15,8333,ST004L1,4.01,0.2,8.27,288,
2017-02-16,8334,ST004L1,3.97,0.2,8.12,253,
2017-02-17,8335,ST004L1,9.34,0.2,8.44,260,
2017-02-18,8343,ST004L1,11.98,0.4,9.05,287,
2017-02-19,8345,ST004L1,8.68,0.3,9.19,,Water depth not recorded: too deep ( >300 cm). 
2017-02-20,8346,ST004L1,8.95,0.3,9.71,,Water depth not recorded: too deep ( >300 cm). 
2017-02-21,8347,ST004L1,21.70,0.6,9.09,,Water depth not recorded: too deep ( >300 cm). 
2017-02-22,8349,ST004L1,43.50,0.8,7.99,,Water depth not recorded: too deep ( >300 cm). 
2017-02-23,8360,ST004L1,24.70,0.4,8.93,,Water depth not recorded: too deep ( >300 cm). 
2017-02-24,8361,ST004L1,16.90,0.3,9.46,,Water depth not recorded: too deep ( >300 cm). 
2017-02-25,8362,ST004L1,10.13,0.3,9.82,,Water depth not recorded: too deep ( >300 cm). 
2017-02-26,8363,ST004L1,12.76,0.3,8.96,,Water depth not recorded: too deep ( >300 cm). 
2017-02-27,8364,ST004L1,10.95,0.3,9.11,,Water depth not recorded: too deep ( >300 cm). 
2017-02-28,8365,ST004L1,5.88,0.2,8.44,293,
2017-03-01,8366,ST004L1,11.91,0.2,8.93,284,
2017-03-02,8367,ST004L1,13.64,0.2,9.25,277,
2017-03-03,8368,ST004L1,14.93,0.3,9.10,255,
2017-03-04,8369,ST004L1,15.88,0.2,9.02,255,
2017-03-05,8370,ST004L1,15.09,0.2,8.65,260,
2017-03-06,8371,ST004L1,13.81,0.3,8.45,260,
2017-03-07,8372,ST004L1,14.39,0.3,8.65,260,
2017-03-08,8373,ST004L1,11.02,0.2,9.48,265,
2017-03-09,8374,ST004L1,11.21,0.2,9.06,261,
2017-03-10,8375,ST004L1,11.69,0.3,9.00,254,
2017-03-11,8376,ST004L1,12.23,0.3,8.67,253,
2017-03-12,8377,ST004L1,12.75,0.3,7.10,247,
2017-03-13,8378,ST004L1,8.57,0.5,9.58,285,
2017-03-14,8379,ST004L1,8.06,0.5,9.16,290,
2017-03-15,8380,ST004L1,8.21,0.7,9.29,285,
2017-03-16,8381,ST004L1,4.75,0.6,9.03,276,
2017-03-17,8382,ST004L1,7.06,0.6,9.44,284,
2017-03-18,8383,ST004L1,8.78,0.5,8.71,285,
2017-03-19,8384,ST004L1,9.05,0.6,9.13,280,
2017-03-20,8385,ST004L1,7.45,0.6,8.48,280,
2017-03-21,8386,ST004L1,7.49,0.6,9.36,277,
2017-03-22,8387,ST004L1,5.37,0.6,9.14,293,
2017-03-23,8433,ST004L1,9.57,0.7,8.60,,Water depth not recorded: too deep (estimated at 307 cm). 
2017-03-24,8434,ST004L1,8.16,0.7,9.81,,Water depth not recorded: too deep ( >300 cm). 
2017-03-25,8435,ST004L1,6.51,0.8,9.93,,Water depth not recorded: too deep ( >300 cm). 
2017-03-26,8436,ST004L1,7.05,0.5,10.10,,Water depth not recorded: too deep ( >300 cm). 
2017-03-27,8437,ST004L1,7.43,0.4,9.84,,Water depth not recorded: too deep ( >300 cm). 
2017-03-28,8438,ST004L1,6.26,0.7,9.96,,Water depth not recorded: too deep ( >300 cm). 
2017-03-29,8439,ST004L1,5.48,0.6,,,Water depth not recorded: too deep ( >300 cm). DO recorded as 16.6 mg/L: likely incorrect. 
2017-03-30,8440,ST004L1,7.38,0.6,9.64,,Water depth not recorded: too deep ( >300 cm). 
2017-03-31,8441,ST004L1,6.63,0.5,9.80,,Water depth not recorded: too deep ( >300 cm). 
2017-04-01,8442,ST004L1,5.09,0.5,9.85,,Water depth not recorded: too deep ( >300 cm). 
2017-04-03,8443,ST004L1,,0.8,10.00,270,
2017-04-04,8444,ST004L1,5.29,0.5,9.67,265,
2017-04-05,8445,ST004L1,4.60,0.6,9.42,279,
2017-04-06,8446,ST004L1,6.94,0.7,9.76,278,
2017-04-07,8447,ST004L1,6.59,0.7,10.01,,Water depth not recorded: too deep ( >300 cm). 
2017-04-08,8448,ST004L1,5.77,0.9,,300,Water temperature and DO not recorded. 
2017-04-10,8449,ST004L1,,0.6,10.62,288,
2017-04-11,8450,ST004L1,6.41,0.5,10.47,,Water depth not recorded: too deep (estimated at 301 cm). 
2017-04-12,8451,ST004L1,5.77,0.7,10.36,,Water depth not recorded: too deep ( >300 cm). 
2017-04-13,8452,ST004L1,6.75,0.6,10.06,,Water depth not recorded: too deep ( >300 cm). 
2017-04-14,8453,ST004L1,5.90,0.7,10.04,,Water depth not recorded: too deep ( >300 cm). 
2017-04-15,8454,ST004L1,6.05,0.6,10.35,,Water depth not recorded: too deep ( >300 cm). 
2017-04-17,8455,ST004L1,,,,,Environmental data not recorded. 
2017-04-18,8456,ST004L1,6.51,0.8,10.38,,Water depth not recorded: too deep ( >300 cm). 
2017-04-19,8457,ST004L1,5.81,0.9,10.20,,Water depth not recorded: too deep ( >300 cm). 
2017-04-20,8458,ST004L1,5.73,0.7,8.55,,Water depth not recorded: too deep ( >300 cm). 
2017-04-21,8459,ST004L1,5.96,0.9,10.34,,Water depth not recorded: too deep ( >300 cm). 
2017-04-22,8460,ST004L1,,,,,Environmental data not recorded. 
2017-04-24,8461,ST004L1,,0.8,10.16,,Water depth not recorded: too deep ( >300 cm). 
2017-04-25,8462,ST004L1,4.35,0.8,9.80,,Water depth not recorded: too deep ( >300 cm). 
2017-04-26,8463,ST004L1,4.80,0.8,10.02,,Water depth not recorded: too deep ( >300 cm). 
2017-04-27,8464,ST004L1,5.05,0.7,9.44,,Water depth not recorded: too deep ( >300 cm). 
2017-05-01,8465,ST004L1,,0.9,,,Water depth not recorded: too deep ( >300 cm).
2017-05-02,8466,ST004L1,4.78,1.1,8.24,,Water depth not recorded: too deep ( >300 cm). 
2017-05-03,8467,ST004L1,4.49,0.7,8.59,,Water depth not recorded: too deep ( >300 cm). 
2017-05-04,8468,ST004L1,3.35,1.0,9.13,,Water depth not recorded: too deep ( >300 cm). 
2017-05-05,8469,ST004L1,4.36,1.2,9.85,,Water depth not recorded: too deep ( >300 cm). 
2017-05-06,8470,ST004L1,4.00,0.9,8.54,,Water depth not recorded: too deep ( >300 cm). 
2017-05-08,8471,ST004L1,,,9.66,,Water velocity not recorded. 
2017-05-09,8472,ST004L1,3.37,0.8,9.94,,Water depth not recorded: too deep ( >300 cm). 
2017-05-10,8473,ST004L1,3.92,0.9,9.05,,Water depth not recorded: too deep ( >300 cm). 
2017-05-11,8474,ST004L1,5.34,1.1,8.54,,Water depth not recorded: too deep ( >300 cm). 
2017-05-12,8475,ST004L1,5.65,0.9,8.15,,Water depth not recorded: too deep ( >300 cm). 
2017-05-13,8476,ST004L1,6.29,1.2,9.75,,Water depth not recorded: too deep ( >300 cm). 
2017-05-15,8529,ST004L1,,1.0,,,Water depth not recorded: too deep ( >300 cm). 
2017-05-16,8530,ST004L1,4.54,0.9,9.96,,Water depth not recorded: too deep ( >300 cm). 
2017-05-17,8531,ST004L1,4.95,1.0,10.29,,Water depth not recorded: too deep ( >300 cm). 
2017-05-18,8532,ST004L1,5.16,0.9,8.29,,Water depth not recorded: too deep ( >300 cm). 
2017-05-19,8533,ST004L1,4.44,0.9,9.81,,Water depth not recorded: too deep ( >300 cm). 
2017-05-20,8534,ST004L1,3.40,0.8,9.90,,Water depth not recorded: too deep ( >300 cm). 
2017-05-22,8535,ST004L1,,0.8,9.95,,Water depth not recorded: too deep ( >300 cm). 
2017-05-23,8536,ST004L1,4.11,0.8,9.59,,Water depth not recorded: too deep ( >300 cm). 
2017-05-24,8537,ST004L1,,0.9,9.88,,Water depth not recorded: too deep ( >300 cm). Turbidity not recorded: water sample not taken. 
2017-05-25,8538,ST004L1,4.32,0.9,9.70,,Water depth not recorded: too deep ( >300 cm). 
2017-05-26,8539,ST004L1,2.62,0.9,9.84,,Water depth not recorded: too deep ( >300 cm). 
2017-05-27,8540,ST004L1,3.20,0.8,9.57,,Water depth not recorded: too deep ( >300 cm). 
2017-05-29,8541,ST004L1,,0.9,,,Water depth not recorded: too deep ( >300 cm). 
