"date","trap.visit.id","station","turbidity","water.vel","dissolved.oxygen","water.depth","environmental.comments","calendar.year","water.year"
2014-01-07,321,"North Channel 8.1",NA,NA,NA,NA,"Environmental data not recorded.",2014,2014
2014-01-08,322,"North Channel 8.1",2.39,0.88,13.05,NA,NA,2014,2014
2014-01-09,323,"North Channel 8.1",1.74,1.04,12.66,NA,NA,2014,2014
2014-01-10,324,"North Channel 8.1",1.63,1.11,13.41,NA,NA,2014,2014
2014-01-11,325,"North Channel 8.1",1.27,1.16,13.22,NA,NA,2014,2014
2014-01-12,326,"North Channel 8.1",1.49,1.08,12.82,NA,NA,2014,2014
2014-01-13,327,"North Channel 8.1",1.7,1.09,13.23,NA,NA,2014,2014
2014-01-14,328,"North Channel 8.1",1.56,0.86,13.6,NA,NA,2014,2014
2014-01-15,337,"North Channel 8.1",1.61,1.01,12.91,NA,NA,2014,2014
2014-01-16,339,"North Channel 8.1",1.46,1.22,13.6,NA,NA,2014,2014
2014-01-17,341,"North Channel 8.1",1.43,1.11,13.34,NA,NA,2014,2014
2014-01-18,342,"North Channel 8.1",1.52,1.06,13.14,NA,NA,2014,2014
2014-01-19,343,"North Channel 8.1",1.91,1.04,13.07,NA,NA,2014,2014
2014-01-20,344,"North Channel 8.1",1.92,1,12.32,NA,NA,2014,2014
2014-01-21,349,"North Channel 8.1",1.3,0.98,13.22,NA,NA,2014,2014
2014-01-22,350,"North Channel 8.1",1.38,1.02,13.15,NA,NA,2014,2014
2014-01-23,351,"North Channel 8.1",1.85,1.01,12.74,NA,NA,2014,2014
2014-01-24,352,"North Channel 8.1",1.99,1.03,13.04,NA,NA,2014,2014
2014-01-25,353,"North Channel 8.1",1.93,1.01,12.48,NA,NA,2014,2014
2014-01-26,354,"North Channel 8.1",1.51,1.07,12.68,NA,NA,2014,2014
2014-01-27,355,"North Channel 8.1",1.45,1,12.48,NA,NA,2014,2014
2014-01-28,356,"North Channel 8.1",1.01,1.03,12.29,NA,NA,2014,2014
