"date","trap.visit.id","station","catch.raw.id","release.id","species","count","at.capture.run","final.run","final.run.method","life.stage","fork.length","weight","mort","fish.origin","mark.type","catch.raw.comments","specimen.type.id","physical.specimen.code","specimen.comments","calendar.year","water.year"
2017-02-02,8299,"ST004L1B",78003,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-03,8300,"ST004L1B",78004,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-03,8304,"ST004L1",78014,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-03,8304,"ST004L1",78015,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",40,NA,"No","Natural","No marks or tags","Weight not recorded: scale not functioning.",NA,NA,NA,2017,2017
2017-02-03,8304,"ST004L1",78016,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-04,8305,"ST004L1",78018,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-04,8305,"ST004L1",78019,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",41,0.5,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-04,8301,"ST004L1B",78008,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-04,8301,"ST004L1B",78007,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",39,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8306,"ST004L1B",78028,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",42,0.6,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8309,"ST004L1",78038,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8309,"ST004L1",78042,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",45,0.7,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8309,"ST004L1",78041,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",41,0.5,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8309,"ST004L1",78040,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",39,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8309,"ST004L1",78039,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8309,"ST004L1",78043,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",40,0.5,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8306,"ST004L1B",78029,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",49,1.1,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8306,"ST004L1B",78027,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",42,0.6,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8306,"ST004L1B",78026,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",42,0.6,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8306,"ST004L1B",78025,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-05,8306,"ST004L1B",78024,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-06,8310,"ST004L1",78045,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",41,0.4,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-06,8310,"ST004L1",78046,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",41,0.7,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-06,8307,"ST004L1B",78034,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",40,0.4,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-07,8308,"ST004L1B",78037,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-07,8311,"ST004L1",78049,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-08,8316,"ST004L1B",78348,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",40,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-08,8316,"ST004L1B",78345,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-08,8316,"ST004L1B",78349,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-08,8312,"ST004L1",78050,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-08,8316,"ST004L1B",78347,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-08,8316,"ST004L1B",78346,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78388,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78377,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",43,0.6,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78378,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78379,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78380,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78381,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78382,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78383,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78384,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78385,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78386,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78387,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78389,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78390,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78391,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78392,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78393,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78394,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78395,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78396,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78397,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78376,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78359,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78364,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78352,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78353,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78354,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78355,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78356,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78357,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78358,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78416,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78360,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78398,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78361,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78363,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78375,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78365,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78366,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78367,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78368,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",32,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78369,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78370,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78371,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78372,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78373,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78374,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
