"date","trap.visit.id","station","turbidity","water.vel","dissolved.oxygen","water.depth","environmental.comments","calendar.year","water.year"
2017-02-01,8302,"ST004L1",NA,NA,NA,153,"Water velocity not recorded.",2017,2017
2017-02-02,8303,"ST004L1",NA,NA,NA,145,"Water temp not recorded. Turbidity not recorded. D.O. not recorded. Water velocity not recorded.",2017,2017
2017-02-03,8304,"ST004L1",4.51,NA,NA,140,"Water temp not recorded. D.O. not recorded. Water velocity not recorded.",2017,2017
2017-02-04,8305,"ST004L1",5.71,NA,7.15,140,"Water velocity not recorded.",2017,2017
2017-02-05,8309,"ST004L1",4.16,NA,8.1,140,"Water velocity not recorded.",2017,2017
2017-02-06,8310,"ST004L1",6.03,NA,7.75,126,"Water velocity not recorded.",2017,2017
2017-02-07,8311,"ST004L1",14.31,NA,8.13,140,"Water velocity not recorded. One water sample taken for both traps.",2017,2017
2017-02-08,8312,"ST004L1",19.71,NA,8.64,208,"Water velocity not recorded.",2017,2017
2017-02-09,8313,"ST004L1",15.63,NA,8.75,NA,"Water velocity not recorded. Water depth not recorded: too deep (estimated at 302 cm).",2017,2017
2017-02-10,8314,"ST004L1",10.56,NA,9.45,NA,"Water velocity not recorded. Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-11,8315,"ST004L1",19.56,NA,8.45,NA,"Water velocity not recorded. Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-12,8324,"ST004L1",10.56,NA,8.83,NA,"Water velocity not recorded. Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-13,8325,"ST004L1",6.48,NA,9.66,300,"Water velocity not recorded.",2017,2017
2017-02-14,8327,"ST004L1",3.9,NA,8.05,281,"Water velocity not recorded.",2017,2017
2017-02-15,8333,"ST004L1",4.01,0.2,8.27,288,NA,2017,2017
2017-02-16,8334,"ST004L1",3.97,0.2,8.12,253,NA,2017,2017
2017-02-17,8335,"ST004L1",9.34,0.2,8.44,260,NA,2017,2017
2017-02-18,8343,"ST004L1",11.98,0.4,9.05,287,NA,2017,2017
2017-02-19,8345,"ST004L1",8.68,0.3,9.19,NA,"Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-20,8346,"ST004L1",8.95,0.3,9.71,NA,"Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-21,8347,"ST004L1",21.7,0.6,9.09,NA,"Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-22,8349,"ST004L1",43.5,0.8,7.99,NA,"Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-23,8360,"ST004L1",24.7,0.4,8.93,NA,"Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-24,8361,"ST004L1",16.9,0.3,9.46,NA,"Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-25,8362,"ST004L1",10.13,0.3,9.82,NA,"Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-26,8363,"ST004L1",12.76,0.3,8.96,NA,"Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-27,8364,"ST004L1",10.95,0.3,9.11,NA,"Water depth not recorded: too deep ( >300 cm).",2017,2017
2017-02-28,8365,"ST004L1",5.88,0.2,8.44,293,NA,2017,2017
2017-03-01,8366,"ST004L1",11.91,0.2,8.93,284,NA,2017,2017
2017-03-02,8367,"ST004L1",13.64,0.2,9.25,277,NA,2017,2017
2017-03-03,8368,"ST004L1",14.93,0.3,9.1,255,NA,2017,2017
2017-03-04,8369,"ST004L1",15.88,0.2,9.02,255,NA,2017,2017
2017-03-05,8370,"ST004L1",15.09,0.2,8.65,260,NA,2017,2017
2017-03-06,8371,"ST004L1",13.81,0.3,8.45,260,NA,2017,2017
2017-03-07,8372,"ST004L1",14.39,0.3,8.65,260,NA,2017,2017
2017-03-08,8373,"ST004L1",11.02,0.2,9.48,265,NA,2017,2017
2017-03-09,8374,"ST004L1",11.21,0.2,9.06,261,NA,2017,2017
2017-03-10,8375,"ST004L1",11.69,0.3,9,254,NA,2017,2017
2017-03-11,8376,"ST004L1",12.23,0.3,8.67,253,NA,2017,2017
2017-03-12,8377,"ST004L1",12.75,0.3,7.1,247,NA,2017,2017
2017-03-13,8378,"ST004L1",8.57,0.5,9.58,285,NA,2017,2017
2017-03-14,8379,"ST004L1",8.06,0.5,9.16,290,NA,2017,2017
2017-03-15,8380,"ST004L1",8.21,0.7,9.29,285,NA,2017,2017
