"method","station","date","time","batch.date.x","species","fork.length","total.length","standard.length","weight","mark.type","life.stage","mort","release.id","count","calendar.year","water.year","method.code","batch.date.y","weather.code","water.temperature","turbidity","water.velocity","dissolved.oxygen","electrical.conductivity"
"RSTR","ST040X",2006-04-28,19:45:00,2006-04-29,"Chinook salmon",73,79,NA,NA,"CWT","3","No","CDFG-2006",2,2006,2006,"RSTR",2006-04-29,"CLR",54,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",78,84,NA,NA,"CWT","3","No","CDFG-2006",2,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",87,94,NA,NA,"CWT","5","No","CDFG-2006",2,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",68,73,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,19:45:00,2006-04-29,"Chinook salmon",69,75,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",54,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",70,75,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",70,75,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",74,80,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",77,81,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",77,83,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,19:45:00,2006-04-29,"Chinook salmon",79,85,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",54,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",80,87,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",81,88,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",82,87,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",84,90,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",84,91,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",85,92,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",85,93,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",87,93,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",87,94,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",94,100,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-28,23:15:00,2006-04-29,"Chinook salmon",NA,NA,NA,NA,"CWT","n/p","No","CDFG-2006",15,2006,2006,"RSTR",2006-04-29,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",78,85,NA,NA,"CWT","3","No","CDFG-2006",2,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",79,84,NA,NA,"CWT","3","No","CDFG-2006",2,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",81,87,NA,NA,"CWT","3","No","CDFG-2006",2,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",83,90,NA,NA,"CWT","5","No","CDFG-2006",2,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",71,76,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,19:45:00,2006-04-30,"Chinook salmon",71,75,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-30,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",72,77,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,19:45:00,2006-04-30,"Chinook salmon",73,78,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-30,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",75,81,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,19:45:00,2006-04-30,"Chinook salmon",75,80,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-30,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",76,82,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",76,84,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,19:45:00,2006-04-30,"Chinook salmon",77,83,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-30,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-29,19:45:00,2006-04-30,"Chinook salmon",78,84,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-30,"NIT",NA,NA,NA,NA,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",80,87,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",80,87,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",83,89,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",84,91,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",86,93,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",86,94,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006,"RSTR",2006-04-29,"CLR",50.4,1.39,3.95,12.12,NA
