"method.code","station","date","time","batch.date","weather.code","water.temperature","turbidity","water.velocity","dissolved.oxygen","electrical.conductivity","calendar.year","water.year"
"RSTR","ST040X",2023-06-23,09:40:00,2023-06-23,"CLR",51.8,2.54,1.7,10.81,58,2023,2023
"RSTR","ST040X",2023-06-22,09:49:00,2023-06-22,"CLR",NA,2.37,2,NA,61.2,2023,2023
"RSTR","ST040X",2023-06-21,10:00:00,2023-06-21,"CLR",NA,2.6,2.1,NA,61.1,2023,2023
"RSTR","ST040X",2023-06-20,10:07:00,2023-06-20,"CLR",NA,2.66,2.1,NA,60.5,2023,2023
"RSTR","ST040X",2023-06-19,08:50:00,NA,"CLR",56.6,2.79,1.9,10.98,59.7,2023,2023
"RSTR","ST040X",2023-06-16,09:50:00,2023-06-16,"CLR",52.2,2.41,1.4,10.82,58.4,2023,2023
"RSTR","ST040X",2023-06-15,09:25:00,2023-06-15,"CLR",51.9,2.27,1.5,10.74,56.2,2023,2023
"RSTR","ST040X",2023-06-14,09:35:00,2023-06-14,"CLR",52.1,2.21,1.9,10.75,58.3,2023,2023
"RSTR","ST040X",2023-06-13,10:00:00,2023-06-13,"CLR",52,2.8,1.9,10.91,57.2,2023,2023
"RSTR","ST040X",2023-06-12,09:15:00,NA,"CLD",51.6,2.92,2.4,10.77,56.1,2023,2023
"RSTR","ST040X",2023-06-09,10:15:00,2023-06-09,"CLR",52.8,2.35,1.7,10.58,60.7,2023,2023
"RSTR","ST040X",2023-06-08,10:15:00,2023-06-08,"CLR",52.3,2.05,1.3,10.84,55.2,2023,2023
"RSTR","ST040X",2023-06-07,10:15:00,2023-06-07,"CLR",51.4,1.98,1.7,11.09,60.2,2023,2023
"RSTR","ST040X",2023-06-06,10:00:00,2023-06-06,"CLR",52.3,2.73,1.9,10.58,61.3,2023,2023
"RSTR","ST040X",2023-06-05,09:00:00,NA,"CLR",51.9,2.77,2.6,10.62,58.8,2023,2023
"RSTR","ST040X",2023-06-02,07:20:00,2023-06-02,"CLR",51.6,3.17,3.1,10.92,59.6,2023,2023
"RSTR","ST040X",2023-06-01,11:15:00,2023-06-01,"CLR",52.1,2.62,1.9,11.28,60.5,2023,2023
"RSTR","ST040X",2023-05-31,11:12:00,2023-05-31,"CLR",52,2.48,1.8,11.21,57.3,2023,2023
"RSTR","ST040X",2023-05-30,09:00:00,NA,"CLR",51.1,2.71,3.1,10.8,59.3,2023,2023
"RSTR","ST040X",2023-05-26,09:30:00,2023-05-26,"CLR",51.1,2.16,2.9,10.93,62.3,2023,2023
"RSTR","ST040X",2023-05-25,10:45:00,2023-05-25,"CLR",51.7,2.52,2.2,11.55,69.8,2023,2023
"RSTR","ST040X",2023-05-24,11:15:00,2023-05-24,"CLR",51.9,2.03,1.6,11.34,63.3,2023,2023
"RSTR","ST040X",2023-05-23,09:30:00,2023-05-23,"CLR",51,2.69,3.1,10.69,58.2,2023,2023
"RSTR","ST040X",2023-05-22,09:15:00,NA,"CLR",51.1,2.77,2.4,10.84,61.4,2023,2023
"RSTR","ST040X",2023-05-19,11:45:00,2023-05-19,"CLR",52.4,3.92,3,11.29,52.5,2023,2023
"RSTR","ST040X",2023-05-18,10:34:00,2023-05-18,"CLR",50.9,3.89,3.9,11.35,79.7,2023,2023
"RSTR","ST040X",2023-05-17,11:28:00,2023-05-17,"CLR",51.8,3.8,3.7,11.5,62.3,2023,2023
"RSTR","ST040X",2023-05-17,20:10:00,2023-05-18,"NIT",55.5,4.18,2.3,11.5,51.4,2023,2023
"RSTR","ST040X",2023-05-17,22:45:00,2023-05-18,"NIT",NA,NA,NA,NA,NA,2023,2023
"RSTR","ST040X",2023-05-17,23:45:00,2023-05-18,"NIT",NA,NA,NA,NA,NA,2023,2023
"RSTR","ST040X",2023-05-16,09:35:00,2023-05-16,"CLR",51.3,2.49,1.2,11.02,59.5,2023,2023
"RSTR","ST040X",2023-05-15,08:56:00,NA,"CLR",51.3,NA,1.6,10.82,57.6,2023,2023
"RSTR","ST040X",2023-05-12,10:00:00,2023-05-12,"CLR",51,3.05,1.9,11.18,62.3,2023,2023
"RSTR","ST040X",2023-05-11,10:45:00,2023-05-11,"CLR",NA,2.91,1.9,NA,61.8,2023,2023
"RSTR","ST040X",2023-05-10,09:45:00,2023-05-10,"CLR",50.6,2.57,1.7,11.11,64,2023,2023
"RSTR","ST040X",2023-05-10,20:15:00,2023-05-11,"NIT",54.1,2.75,2.8,11.63,62.7,2023,2023
"RSTR","ST040X",2023-05-10,22:45:00,2023-05-11,"NIT",NA,NA,NA,NA,NA,2023,2023
"RSTR","ST040X",2023-05-10,23:45:00,2023-05-11,"NIT",NA,NA,NA,NA,NA,2023,2023
"RSTR","ST040X",2023-05-09,09:30:00,2023-05-09,"CLR",50.4,3.1,1.4,10.98,62.6,2023,2023
"RSTR","ST040X",2023-05-08,09:00:00,2023-05-08,"CLR",50.2,2.35,1.6,10.98,62,2023,2023
"RSTR","ST040X",2023-05-07,08:00:00,2023-05-07,"CLR",49.8,3.29,2.5,11.12,58.2,2023,2023
"RSTR","ST040X",2023-05-06,03:45:00,2023-05-06,"RAN",54.3,4.11,0.8,10.68,65.4,2023,2023
"RSTR","ST040X",2023-05-06,11:45:00,2023-05-06,"CLD",50.8,4.34,3,11.49,58.8,2023,2023
"RSTR","ST040X",2023-05-05,09:30:00,2023-05-05,"CLD",53.3,3.25,0.8,10.55,66.2,2023,2023
"RSTR","ST040X",2023-05-05,21:15:00,2023-05-06,"NIT",56.1,2.06,1.1,11.26,65.3,2023,2023
"RSTR","ST040X",2023-05-04,07:44:00,2023-05-04,"CLD",52.7,1.99,1.9,10.42,65.5,2023,2023
"RSTR","ST040X",2023-05-03,12:13:00,NA,"CLD",52.1,4.56,0.5,11.56,72.4,2023,2023
"RSTR","ST040X",2023-05-03,14:15:00,2023-05-04,"CLD",NA,NA,NA,NA,NA,2023,2023
"RSTR","ST040X",2023-04-28,09:30:00,2023-04-28,"CLR",50.6,4.61,3.9,11.06,66.2,2023,2023
"RSTR","ST040X",2023-04-27,09:00:00,2023-04-27,"CLR",51,3.53,2.8,11.06,69.3,2023,2023
"RSTR","ST040X",2023-04-26,09:15:00,2023-04-26,"CLR",50.3,4.3,2.5,11.06,66.8,2023,2023
"RSTR","ST040X",2023-04-25,11:10:00,2023-04-25,"CLR",50.8,4.17,3,11.62,68.6,2023,2023
"RSTR","ST040X",2023-04-24,09:30:00,NA,"CLR",50.3,5.1,3.6,10.99,74.8,2023,2023
"RSTR","ST040X",2023-04-21,10:33:00,2023-04-21,"CLR",49.7,8.9,1.6,11.27,67.5,2023,2023
"RSTR","ST040X",2023-04-20,04:15:00,2023-04-20,"NIT",52.5,5.38,2.8,11.05,68.8,2023,2023
"RSTR","ST040X",2023-04-20,13:00:00,2023-04-21,"CLR",51.6,6.03,2.5,11.6,75.6,2023,2023
"RSTR","ST040X",2023-04-19,11:00:00,2023-04-19,"CLR",52.6,6.35,1.9,11.62,69.6,2023,2023
"RSTR","ST040X",2023-04-19,16:45:00,2023-04-20,"CLD",56.8,4.7,1.1,13.13,74.8,2023,2023
"RSTR","ST040X",2023-04-18,11:00:00,2023-04-18,"CLD",52.5,6.08,0.9,11.53,75.3,2023,2023
"RSTR","ST040X",2023-04-17,13:30:00,NA,"CLD",52.6,6.28,2.4,12.51,74.4,2023,2023
"RSTR","ST040X",2023-04-14,10:45:00,2023-04-14,"CLR",49.8,5.06,2.4,11.04,107.2,2023,2023
"RSTR","ST040X",2023-04-13,07:45:00,2023-04-13,"CLR",48.7,8.34,3,11.09,73.3,2023,2023
"RSTR","ST040X",2023-04-12,08:00:00,2023-04-12,"CLR",49.1,4.48,2.6,11.13,79,2023,2023
"RSTR","ST040X",2023-04-11,07:45:00,2023-04-11,"CLR",50.1,5.98,1.9,10.97,78.6,2023,2023
"RSTR","ST040X",2023-04-10,07:30:00,2023-04-10,"CLR",49.6,4.82,2.3,11,70.5,2023,2023
"RSTR","ST040X",2023-04-09,09:00:00,2023-04-09,"CLR",49.2,4.28,2,11.25,71.5,2023,2023
"RSTR","ST040X",2023-04-08,09:00:00,2023-04-08,"CLD",49.3,4.07,1.9,11.27,77.2,2023,2023
"RSTR","ST040X",2023-04-07,11:45:00,2023-04-07,"CLD",50.3,3.42,3.2,11.32,79.8,2023,2023
"RSTR","ST040X",2023-04-07,12:30:00,NA,"CLD",NA,NA,NA,NA,NA,2023,2023
"RSTR","ST040X",2023-04-06,08:15:00,2023-04-06,"CLR",48.9,5.7,2.1,11.26,92.1,2023,2023
"RSTR","ST040X",2023-04-05,07:45:00,2023-04-05,"CLR",48.4,NA,2.5,11.38,93.3,2023,2023
"RSTR","ST040X",2023-04-05,19:45:00,2023-04-06,"CLR",51.9,5.44,2.4,12.03,83.2,2023,2023
"RSTR","ST040X",2023-04-05,21:00:00,2023-04-06,"NIT",NA,NA,NA,NA,NA,2023,2023
"RSTR","ST040X",2023-04-05,23:00:00,2023-04-06,"NIT",NA,NA,NA,NA,NA,2023,2023
"RSTR","ST040X",2023-04-04,10:30:00,2023-04-04,"CLR",49.3,10.6,2.8,11.34,84.3,2023,2023
"RSTR","ST040X",2023-04-03,07:15:00,2023-04-03,"CLR",48.8,7.72,2.6,11.25,90.5,2023,2023
"RSTR","ST040X",2023-04-02,07:15:00,2023-04-02,"CLR",49.1,6.59,2.7,12.1,59.8,2023,2023
"RSTR","ST040X",2023-04-01,06:30:00,2023-04-01,"CLR",50.4,12.51,3,10.9,79.8,2023,2023
"RSTR","ST040X",2023-04-01,11:39:00,2023-04-02,"CLR",NA,NA,NA,NA,NA,2023,2023
"RSTR","ST040X",2023-04-01,18:15:00,2023-04-02,"CLR",52.4,10.48,2.5,12.88,63.4,2023,2023
